87 => 1-2-3-4-5-6-7-8-9-10-11-12-14-17-19 | 5:2 | 6:39 | 7:258 | 8:739 | 9:942 | 10:689 | 11:250 | 12:50 | 13:5 | 14:0 | 15:0
88 => 1-2-3-4-5-6-7-8-9-10-11-12-14-17-20 | 5:3 | 6:50 | 7:246 | 8:675 | 9:963 | 10:715 | 11:274 | 12:46 | 13:2 | 14:0 | 15:0
89 => 1-2-3-4-5-6-7-8-9-10-11-12-14-17-21 | 5:2 | 6:45 | 7:257 | 8:716 | 9:962 | 10:685 | 11:264 | 12:37 | 13:6 | 14:0 | 15:0
90 => 1-2-3-4-5-6-7-8-9-10-11-12-14-17-22 | 5:1 | 6:46 | 7:248 | 8:727 | 9:969 | 10:675 | 11:259 | 12:39 | 13:10 | 14:0 | 15:0
91 => 1-2-3-4-5-6-7-8-9-10-11-12-14-17-23 | 5:1 | 6:42 | 7:294 | 8:707 | 9:931 | 10:684 | 11:258 | 12:54 | 13:3 | 14:0 | 15:0
92 => 1-2-3-4-5-6-7-8-9-10-11-12-14-17-24 | 5:2 | 6:42 | 7:250 | 8:716 | 9:967 | 10:683 | 11:262 | 12:46 | 13:6 | 14:0 | 15:0
93 => 1-2-3-4-5-6-7-8-9-10-11-12-14-17-25 | 5:2 | 6:40 | 7:258 | 8:722 | 9:928 | 10:701 | 11:272 | 12:46 | 13:5 | 14:0 | 15:0
94 => 1-2-3-4-5-6-7-8-9-10-11-12-14-18-19 | 5:3 | 6:38 | 7:264 | 8:697 | 9:959 | 10:725 | 11:239 | 12:45 | 13:4 | 14:0 | 15:0
95 => 1-2-3-4-5-6-7-8-9-10-11-12-14-18-20 | 5:5 | 6:42 | 7:249 | 8:675 | 9:961 | 10:705 | 11:297 | 12:36 | 13:4 | 14:0 | 15:0
96 => 1-2-3-4-5-6-7-8-9-10-11-12-14-18-21 | 5:2 | 6:46 | 7:246 | 8:708 | 9:969 | 10:706 | 11:255 | 12:39 | 13:3 | 14:0 | 15:0
97 => 1-2-3-4-5-6-7-8-9-10-11-12-14-18-22 | 5:3 | 6:47 | 7:230 | 8:744 | 9:949 | 10:693 | 11:258 | 12:43 | 13:7 | 14:0 | 15:0
98 => 1-2-3-4-5-6-7-8-9-10-11-12-14-18-23 | 5:1 | 6:44 | 7:284 | 8:689 | 9:941 | 10:717 | 11:248 | 12:47 | 13:3 | 14:0 | 15:0
99 => 1-2-3-4-5-6-7-8-9-10-11-12-14-18-24 | 5:2 | 6:35 | 7:256 | 8:699 | 9:990 | 10:670 | 11:273 | 12:45 | 13:4 | 14:0 | 15:0
100 => 1-2-3-4-5-6-7-8-9-10-11-12-14-18-25 | 5:1 | 6:41 | 7:260 | 8:685 | 9:966 | 10:703 | 11:267 | 12:48 | 13:3 | 14:0 | 15:0
