280 => 1-2-3-4-5-6-7-8-9-10-11-12-21-23-24 | 5:2 | 6:41 | 7:265 | 8:723 | 9:965 | 10:662 | 11:268 | 12:43 | 13:5 | 14:0 | 15:0
281 => 1-2-3-4-5-6-7-8-9-10-11-12-21-23-25 | 5:1 | 6:42 | 7:267 | 8:708 | 9:977 | 10:662 | 11:265 | 12:47 | 13:5 | 14:0 | 15:0
282 => 1-2-3-4-5-6-7-8-9-10-11-12-21-24-25 | 5:3 | 6:43 | 7:246 | 8:702 | 9:966 | 10:695 | 11:268 | 12:49 | 13:2 | 14:0 | 15:0
283 => 1-2-3-4-5-6-7-8-9-10-11-12-22-23-24 | 5:3 | 6:44 | 7:255 | 8:754 | 9:924 | 10:667 | 11:270 | 12:54 | 13:3 | 14:0 | 15:0
284 => 1-2-3-4-5-6-7-8-9-10-11-12-22-23-25 | 5:3 | 6:38 | 7:262 | 8:740 | 9:953 | 10:638 | 11:283 | 12:51 | 13:6 | 14:0 | 15:0
285 => 1-2-3-4-5-6-7-8-9-10-11-12-22-24-25 | 5:4 | 6:40 | 7:253 | 8:714 | 9:947 | 10:666 | 11:301 | 12:47 | 13:2 | 14:0 | 15:0
286 => 1-2-3-4-5-6-7-8-9-10-11-12-23-24-25 | 5:2 | 6:47 | 7:265 | 8:691 | 9:980 | 10:655 | 11:267 | 12:63 | 13:3 | 14:1 | 15:0
287 => 1-2-3-4-5-6-7-8-9-10-11-13-14-15-16 | 5:0 | 6:49 | 7:282 | 8:689 | 9:960 | 10:691 | 11:257 | 12:42 | 13:4 | 14:0 | 15:0
288 => 1-2-3-4-5-6-7-8-9-10-11-13-14-15-17 | 5:2 | 6:48 | 7:264 | 8:699 | 9:946 | 10:711 | 11:250 | 12:50 | 13:4 | 14:0 | 15:0
289 => 1-2-3-4-5-6-7-8-9-10-11-13-14-15-18 | 5:1 | 6:44 | 7:266 | 8:678 | 9:974 | 10:711 | 11:246 | 12:51 | 13:3 | 14:0 | 15:0
290 => 1-2-3-4-5-6-7-8-9-10-11-13-14-15-19 | 5:1 | 6:55 | 7:253 | 8:685 | 9:967 | 10:710 | 11:250 | 12:50 | 13:3 | 14:0 | 15:0
291 => 1-2-3-4-5-6-7-8-9-10-11-13-14-15-20 | 5:2 | 6:49 | 7:269 | 8:632 | 9:966 | 10:740 | 11:254 | 12:58 | 13:4 | 14:0 | 15:0
292 => 1-2-3-4-5-6-7-8-9-10-11-13-14-15-21 | 5:4 | 6:47 | 7:256 | 8:693 | 9:975 | 10:678 | 11:274 | 12:44 | 13:3 | 14:0 | 15:0
293 => 1-2-3-4-5-6-7-8-9-10-11-13-14-15-22 | 5:3 | 6:45 | 7:269 | 8:691 | 9:950 | 10:702 | 11:255 | 12:54 | 13:5 | 14:0 | 15:0
294 => 1-2-3-4-5-6-7-8-9-10-11-13-14-15-23 | 5:2 | 6:61 | 7:247 | 8:712 | 9:959 | 10:665 | 11:276 | 12:46 | 13:6 | 14:0 | 15:0
295 => 1-2-3-4-5-6-7-8-9-10-11-13-14-15-24 | 5:3 | 6:38 | 7:262 | 8:679 | 9:1004 | 10:661 | 11:268 | 12:52 | 13:7 | 14:0 | 15:0
296 => 1-2-3-4-5-6-7-8-9-10-11-13-14-15-25 | 5:0 | 6:49 | 7:258 | 8:666 | 9:970 | 10:719 | 11:261 | 12:46 | 13:5 | 14:0 | 15:0
297 => 1-2-3-4-5-6-7-8-9-10-11-13-14-16-17 | 5:0 | 6:49 | 7:276 | 8:706 | 9:941 | 10:703 | 11:251 | 12:47 | 13:1 | 14:0 | 15:0
298 => 1-2-3-4-5-6-7-8-9-10-11-13-14-16-18 | 5:3 | 6:40 | 7:275 | 8:705 | 9:936 | 10:721 | 11:249 | 12:43 | 13:2 | 14:0 | 15:0
299 => 1-2-3-4-5-6-7-8-9-10-11-13-14-16-19 | 5:2 | 6:49 | 7:288 | 8:660 | 9:966 | 10:713 | 11:251 | 12:45 | 13:0 | 14:0 | 15:0
300 => 1-2-3-4-5-6-7-8-9-10-11-13-14-16-20 | 5:3 | 6:51 | 7:267 | 8:658 | 9:942 | 10:732 | 11:280 | 12:39 | 13:2 | 14:0 | 15:0
